Feature,Importance
ram,6.323067665100098
ram_battery_interaction,4.952271461486816
is_premium,2.7584714889526367
battery_power,2.4519355297088623
screen_area,2.2025368213653564
ram_per_core,1.2646129131317139
px_height,1.221112608909607
px_width,1.1655055284500122
battery_efficiency,1.1148403882980347
n_cores,0.8419672250747681
avg_camera_mp,0.83720463514328
pixel_density,0.6918337941169739
performance_score,0.6652436256408691
battery_per_talk,0.6376156806945801
blue,0.6149419546127319
fc,0.548805832862854
pc,0.5150588750839233
mobile_wt,0.5114258527755737
screen_size,0.5044547915458679
sc_w,0.49866434931755066
total_memory,0.4956015348434448
memory_weight_ratio,0.49085500836372375
talk_time,0.4901506006717682
int_memory,0.47792384028434753
camera_ratio,0.46822333335876465
total_camera_mp,0.46773308515548706
touch_screen,0.4633451998233795
sc_h,0.4388252794742584
wifi,0.4306672215461731
m_dep,0.41341808438301086
feature_count,0.4113638997077942
dual_sim,0.3785136044025421
clock_speed,0.37539392709732056
four_g,0.3076576292514801
three_g,0.2252987176179886
